id	x	y	u	SOURCE_ID	phot_g_mean_mag	phot_bp_mean_mag	phot_rp_mean_mag	bp_rp	ra	dec	parallax
104	24.37509	-112.106	19.208	5309186306434302720	15.992328643798828	16.4289608001709	15.364548683166504	1.0644121170043943	146.0851688173356	-54.144785765458366	0.1552394071088861
105	23.68668	200.77019	19.72	5309189020853544704	16.250959396362305	16.730249404907227	15.593976020812988	1.1362733840942385	146.0831199073864	-54.05707361906198	0.5442819057221566
106	21.28177	-68.07752	18.338	5309187096714065536	16.033872604370117	15.673178672790527	14.705793380737305	0.9673852920532228	146.08340630199055	-54.13250154799931	0.135817434644294
107	18.06377	-167.29313	20.434	5309185928477173120	15.27946949005127	16.17650604248047	14.325839042663574	1.8506669998168943	146.082413404523	-54.160251693852366	3.380813415625917
108	14.19046	-114.51669	20.637	5309186302122015104	17.345312118530273	17.74684715270996	16.389881134033203	1.3569660186767578	146.0802828178096	-54.14548051787606	0.3262730829346541
109	11.01188	-327.78068	15.835	5309185722324615168	13.340981483459473	13.607983589172363	12.9161958694458	0.6917877197265625	146.0799203838274	-54.20526971684511	1.2465093886452512
110	11.57216	-162.32448	20.002	5309185924165280000	13.197309494018556	14.392714500427246	12.125046730041504	2.267667770385742	146.0792698504386	-54.1588953457033	0.2147189843907067
111	12.70482	19.69146	15.567	5309187268506864128	12.92315673828125	13.171753883361816	12.506817817687988	0.6649360656738281	146.0788349482766	-54.10787281987984	0.3720628988600417
112	9.22596	-266.83243	20.218	5309185825378439168	16.876901626586914	17.081634521484375	15.725481986999512	1.3561525344848633	146.07873263191644	-54.1881626916757	1.0119404414934758
113	7.67253	-163.94423	18.641	5309185928477172096	15.039590835571287	15.550046920776367	14.340790748596191	1.2092561721801758	146.07743197824138	-54.15938008704672	0.9180287381557204
114	8.10976	124.4158	16.259	5309187509025045888	13.680734634399414	13.909601211547852	13.242643356323242	0.6669578552246094	146.07604254447705	-54.07852834707849	0.3903860841869766
115	3.03616	-121.06804	17.468	5309187062348418560	12.633489608764648	13.449517250061035	11.74564266204834	1.703874588012695	146.074947798412	-54.14736373705899	0.3554843986710098
116	0.75872	-183.20405	20.579	5309185928477168128	17.198942184448242	17.749130249023438	16.497600555419922	1.2515296936035156	146.0741793881391	-54.16479615690988	0.2465793875685162
117	0.37976	-26.28	18.831	5309187096708164096	15.624258995056152	16.07293701171875	15.00141429901123	1.0715227127075195	146.0731595278715	-54.120801288272105	0.3358448329954424
118	2.40941	237.49209	20.196	5309189089573023232	16.79180335998535	17.355331420898438	16.08415985107422	1.2711715698242188	146.0727072603891	-54.046850224864414	0.3268051830080815
119	0.80304	219.52808	17.914	5309189055213282944	15.012019157409668	15.401158332824709	14.4481782913208	0.9529800415039062	146.072002534178	-54.05188876907734	0.469682285259345
120	-3.01398	-175.32007	20.221	5309185928477168640	16.83198356628418	17.277667999267578	16.11000633239746	1.1676616668701172	146.0723185181445	-54.16259038469955	0.0487031603307873
