ra,dec,u
146.13316,-54.06991,19.286
146.13239,-54.10179,19.037
146.11498,-54.16361,18.791
146.11442,-54.19413,20.159
146.11296,-54.19377,19.184
146.112,-54.21049,19.536
146.11295,-54.13693,20.313
146.11152,-54.19371,17.601
146.1085,-54.1189,20.529
146.10577,-54.16737,17.071
146.10566,-54.09482,19.409
146.10297,-54.21754,18.894
146.10458,-54.04228,20.478
146.10046,-54.12353,19.907
146.09564,-54.11477,20.387
146.09536,-54.08579,20.235
146.0945,-54.14374,19.744
146.09042,-54.15618,18.913
146.08435,-54.10854,17.719
146.08345,-54.08689,20.338
146.08164,-54.12519,19.21
146.08011,-54.09021,20.45
146.07687,-54.13734,20.244
146.07559,-54.17539,20.52
146.07237,-54.05198,19.234
146.06987,-54.09434,20.272
146.06896,-54.04095,17.873
146.06687,-54.14951,20.211
146.0665,-54.10521,18.627
146.06577,-54.15163,19.782
146.06192,-54.16237,19.11
146.06051,-54.13827,19.52
146.05723,-54.20559,16.651
146.04987,-54.2163,17.46
146.04703,-54.15511,18.156
146.04305,-54.17418,20.351
146.04298,-54.13529,19.138
146.04,-54.19257,19.625
146.03627,-54.19771,19.637
146.03363,-54.08599,19.442
146.03103,-54.17416,19.003
146.03054,-54.09151,20.025
146.0279,-54.0556,20.257
146.02563,-54.1537,19.596
146.02542,-54.15183,18.566
146.01915,-54.13158,20.101
146.01558,-54.16429,20.499
146.01536,-54.13485,20.572
146.0141,-54.13875,20.338
146.01289,-54.10773,19.46
146.01302,-54.06284,20.616
146.0105,-54.07929,20.093
146.00255,-54.18566,20.222
146.0028,-54.05433,20.064
145.99533,-54.07866,20.333
145.98819,-54.12291,20.549
145.98193,-54.12425,20.371
145.96626,-54.13331,18.045
145.96099,-54.12057,18.8
145.9556,-54.10517,19.151
145.95041,-54.10938,17.102
145.94579,-54.10875,20.715
145.94049,-54.13539,20.483
146.22791,-54.10055,15.934
146.2198,-54.14719,18.384
146.20357,-54.14226,19.443
146.19749,-54.19018,18.77
146.19692,-54.07017,20.777
146.19114,-54.12783,19.749
146.18593,-54.14983,19.94
146.18445,-54.10936,20.107
146.17754,-54.09783,20.266
146.16991,-54.15166,18.555
146.16896,-54.08069,19.503
146.15063,-54.13134,20.701
146.14457,-54.05988,19.758
146.12953,-54.18218,19.019
146.1135,-54.11316,18.103
146.10506,-54.22072,17.504
146.10411,-54.11715,19.983
146.08047,-54.12506,20.483
146.07908,-54.1173,18.076
146.07354,-54.10006,18.589
146.06808,-54.17289,18.324
146.0626,-54.19398,16.288
146.0418,-54.05834,19.724
146.03187,-54.14298,17.134
146.02815,-54.08251,19.742
146.0232,-54.17625,20.142
146.02182,-54.09298,18.769
146.01772,-54.06973,20.724
145.99588,-54.13907,19.373
145.98882,-54.14806,18.799
145.98815,-54.1476,20.313
145.98732,-54.16275,17.459
145.98314,-54.10804,19.997
145.96457,-54.15595,19.1
145.93042,-54.121,20.776
146.19017,-54.19212,20.202
146.15218,-54.11414,20.411
146.14401,-54.05926,18.304
146.13132,-54.10203,20.237
146.0638,-54.12164,19.942
146.06116,-54.18381,19.629
146.04001,-54.13809,18.655
145.973,-54.12211,20.62
145.97248,-54.12136,19.581
145.96473,-54.167,19.631
145.96125,-54.12126,19.93
145.95691,-54.12763,19.643
